EMPLOYEE_CODE,MONTH,GROSS,TAX,TOTAL
12341,01/01/2022,825.01,123.75,701.26
12341,01/02/2022,5334.72,800.21,4534.51
12341,01/03/2022,8592.64,1288.9,7303.74
12341,01/04/2022,6434.43,965.16,5469.27
12341,01/06/2022,3381.44,507.22,2874.22
123415,01/07/2022,773.91,116.09,657.82
123415,01/08/2022,14525.92,2178.89,12347.03
123415,01/09/2022,4947.46,742.12,4205.34
512351,01/11/2022,1681.17,252.18,1428.99
512351,01/12/2022,9230.13,1384.52,7845.61
1242,01/07/2022,15545.51,2331.83,13213.68
124123,01/08/2022,16656.31,2498.45,14157.86
151235,01/10/2022,18403.86,2760.58,15643.28
2315235,01/11/2022,19708.96,2956.34,16752.62
12312342,01/12/2022,14003.84,2100.58,11903.26
5125,01/03/2022,4454.71,668.21,3786.5
123512,01/04/2022,18722.87,2808.43,15914.44
561263,01/05/2022,15748.48,2362.27,13386.21
2162361,01/06/2022,9452.75,1417.91,8034.84
2161236,01/08/2022,14282.44,2142.37,12140.07
612361,01/09/2022,8287.42,1243.11,7044.31
23612341,01/10/2022,19679.39,2951.91,16727.48
2312341,01/11/2022,15534.1,2330.12,13203.99
2341235,01/12/2022,14782.47,2217.37,12565.1
6236123,01/02/2022,2544.2,381.63,2162.57
6123621,01/03/2022,19476.8,2921.52,16555.28
12312342,01/04/2022,12610.16,1891.52,10718.64
23612361,02/04/2022,12610.16,1891.52,10718.64
